event_id,zone_id,season_index,day_of_week,start_hour,risk_tier_index,radius_km,rain_norm_mean,traffic_norm_mean,aqi_norm_mean,outage_active_ratio,event_flag_active_ratio,peak_zdi_first_hour,zdi_rise_rate_first_hour,payout_rate
SYN-SEV-BLR-04-2024-0000010-ffea31,BLR-04,4,6,15,1,2.5,44.7485,54.9778,27.0503,0.09229,0.141349,38.3711,10.012751,0.4
SYN-SEV-BLR-05-2026-0002111-ef5640,BLR-05,3,4,18,0,2.5,74.5349,39.6465,16.5814,0.034247,0.049583,42.0806,6.453402,0.4
SYN-SEV-BLR-02-2026-0001172-4c6ce1,BLR-02,1,2,17,2,2.5,28.6025,38.8408,29.9032,0.081515,0.047813,25.0,5.19346,0.4
SYN-SEV-BLR-04-2023-0001120-d46601,BLR-04,3,1,17,1,2.5,66.2132,50.6923,21.5047,0.04711,0.015479,46.3227,7.345021,0.4
SYN-SEV-BLR-04-2024-0000046-55fd9b,BLR-04,2,6,19,1,2.5,43.8148,63.032,17.1582,0.494419,0.004281,46.4181,13.723215,0.7
SYN-SEV-BLR-02-2022-0002804-9bda0d,BLR-02,3,0,0,2,2.5,82.6676,48.9044,21.6511,0.100124,0.001321,46.2542,8.686626,0.7
SYN-SEV-BLR-04-2024-0001744-f6cadd,BLR-04,3,6,16,1,2.5,89.1992,69.3135,20.7775,0.377493,0.038655,70.1406,11.532228,1.0
SYN-SEV-BLR-06-2024-0001326-3f886f,BLR-06,3,6,18,1,2.5,64.438,53.5009,18.5449,0.109229,0.036087,40.6754,9.46763,0.7
SYN-SEV-BLR-01-2025-0001603-071f5b,BLR-01,3,5,8,2,2.5,87.1036,54.2171,18.5397,0.044969,0.020952,47.8582,10.183579,0.7
SYN-SEV-BLR-02-2022-0000962-b5cdfb,BLR-02,2,0,22,2,2.5,39.4552,41.9948,15.9244,0.119336,0.018261,28.4341,7.406908,0.4
SYN-SEV-BLR-03-2025-0000855-dbd8ee,BLR-03,4,3,17,2,2.5,51.6657,49.5005,19.661,0.073462,0.104282,33.3764,9.261058,0.4
SYN-SEV-BLR-03-2025-0002679-03040b,BLR-03,3,5,17,2,2.5,94.3209,57.915,16.8516,0.076209,0.038276,42.7872,7.586362,0.7
SYN-SEV-BLR-05-2023-0002315-f5de61,BLR-05,3,5,18,0,2.5,75.4202,42.0123,10.5252,0.035474,0.034467,43.2417,4.834903,0.4
SYN-SEV-BLR-04-2024-0002896-5a692d,BLR-04,1,6,16,1,2.5,28.864,37.2039,24.064,0.093487,0.011311,25.0,7.637803,0.4
SYN-SEV-BLR-01-2025-0002323-ad8ae7,BLR-01,3,1,7,2,2.5,89.2026,68.3698,20.0853,0.424387,0.015413,60.6252,12.633801,0.7
SYN-SEV-BLR-01-2026-0002125-f3b410,BLR-01,2,2,0,2,2.5,59.6054,39.4227,24.8807,0.067205,0.047697,30.2604,7.532597,0.4
SYN-SEV-BLR-03-2024-0002085-7c031e,BLR-03,4,5,4,2,2.5,59.2274,58.9281,18.1672,0.082425,0.006811,44.3668,1.953828,0.4
SYN-SEV-BLR-01-2023-0000253-101174,BLR-01,3,5,16,2,2.5,62.8318,51.5366,21.0355,0.043018,0.009971,40.0078,7.02303,0.4
SYN-SEV-BLR-02-2025-0002966-166974,BLR-02,1,4,14,2,2.5,45.7094,27.1436,27.1216,0.063465,0.012739,27.236,5.16227,0.4
SYN-SEV-BLR-05-2024-0001241-e683ba,BLR-05,1,5,13,0,2.5,5.1623,36.4787,23.5223,0.067681,0.037635,25.0,4.849397,0.4
SYN-SEV-BLR-01-2025-0001669-9df706,BLR-01,3,5,17,2,2.5,96.3848,55.4337,24.5448,0.065117,0.010126,55.5992,5.803281,0.7
SYN-SEV-BLR-04-2025-0002146-91d6b9,BLR-04,1,4,15,1,2.5,34.7057,49.3978,23.6698,0.074493,0.216605,33.7717,7.78942,0.4
SYN-SEV-BLR-03-2024-0000045-a2c957,BLR-03,1,5,21,2,2.5,28.2189,44.906,27.7418,0.085588,0.033409,25.6698,4.377673,0.4
SYN-SEV-BLR-01-2026-0000727-f32f31,BLR-01,3,0,18,2,2.5,84.7598,71.2436,22.0883,0.312144,0.043492,69.5233,12.874242,1.0
SYN-SEV-BLR-01-2025-0002833-88654d,BLR-01,4,0,16,2,2.5,44.5289,58.1706,20.1149,0.32709,0.029585,40.0336,15.340443,0.4
SYN-SEV-BLR-04-2024-0000136-607203,BLR-04,2,5,15,1,2.5,27.5617,31.459,29.4199,0.057611,0.038653,25.899,9.098941,0.4
SYN-SEV-BLR-04-2024-0001768-bfa0d9,BLR-04,1,4,20,1,2.5,6.9724,31.6234,30.5056,0.055121,0.037569,25.0,3.225994,0.4
SYN-SEV-BLR-03-2023-0000801-1efd96,BLR-03,2,6,8,2,2.5,58.1505,49.5118,23.3755,0.058347,0.040064,41.6015,6.307068,0.4
SYN-SEV-BLR-01-2022-0000355-2fb008,BLR-01,3,4,17,2,2.5,75.2948,45.3915,16.4208,0.074759,0.034894,45.7412,5.879688,0.7
SYN-SEV-BLR-04-2025-0002614-602b93,BLR-04,4,2,18,1,2.5,27.5486,51.3213,19.4958,0.098777,0.028007,25.0,6.258637,0.4
SYN-SEV-BLR-03-2023-0000111-3b3685,BLR-03,4,2,22,2,2.5,36.3423,67.8419,23.9963,0.434814,0.137498,34.9292,13.422451,0.7
SYN-SEV-BLR-05-2022-0002621-bbe571,BLR-05,2,2,17,0,2.5,32.1823,31.8504,24.8894,0.084432,0.002413,25.0,5.709838,0.4
SYN-SEV-BLR-01-2026-0000379-7757af,BLR-01,1,1,13,2,2.5,42.8396,48.5286,34.0469,0.073101,0.010492,34.7124,8.433862,0.4
SYN-SEV-BLR-03-2022-0002667-d9031c,BLR-03,1,4,10,2,2.5,35.6393,51.3637,26.7043,0.101485,0.233923,25.0,9.732695,0.4
SYN-SEV-BLR-03-2026-0001851-351ba6,BLR-03,4,3,16,2,2.5,36.8285,57.011,23.1812,0.326076,0.00404,38.2562,10.784346,0.4
SYN-SEV-BLR-05-2023-0000359-57cfba,BLR-05,1,1,14,0,2.5,17.4379,45.1108,25.5375,0.031308,0.201539,25.0,6.339919,0.4
SYN-SEV-BLR-01-2024-0001057-22c08c,BLR-01,1,5,9,2,2.5,37.5938,33.466,29.4642,0.087074,0.020266,34.629,6.91714,0.4
SYN-SEV-BLR-06-2026-0001644-a4d8c6,BLR-06,3,2,10,1,2.5,91.8883,59.0364,20.411,0.103112,0.223323,54.3528,11.648994,0.7
SYN-SEV-BLR-03-2024-0002499-917e4e,BLR-03,3,4,20,2,2.5,71.9918,45.2053,19.0406,0.07682,0.022274,47.0072,8.518147,0.4
SYN-SEV-BLR-05-2023-0000815-b5d07c,BLR-05,2,5,9,0,2.5,52.8612,49.3903,17.9767,0.081284,0.016508,33.5904,8.131635,0.4
SYN-SEV-BLR-04-2024-0001270-90dbae,BLR-04,1,1,15,1,2.5,34.6391,40.037,28.4039,0.067555,0.230741,26.2467,5.80236,0.4
SYN-SEV-BLR-01-2026-0002443-506528,BLR-01,3,4,20,2,2.5,69.9347,43.1668,14.9791,0.103389,0.019975,44.5997,7.468018,0.4
SYN-SEV-BLR-04-2026-0002314-85ea7d,BLR-04,1,1,17,1,2.5,22.2656,27.4541,27.2211,0.089049,0.041013,25.0,5.902876,0.4
SYN-SEV-BLR-02-2022-0001238-625fa0,BLR-02,3,1,12,2,2.5,84.4388,62.4667,16.7193,0.317934,0.009235,61.5283,10.451949,1.0
SYN-SEV-BLR-02-2022-0002810-0960b7,BLR-02,1,1,15,2,2.5,26.4536,56.5074,35.15,0.289034,0.016104,34.5557,11.113346,0.4
SYN-SEV-BLR-04-2024-0002530-f10c09,BLR-04,1,3,16,1,2.5,31.1005,36.333,28.1983,0.102317,0.034625,25.0,7.140182,0.4
SYN-SEV-BLR-04-2023-0001156-5c7294,BLR-04,1,2,19,1,2.5,12.1448,22.5048,29.4648,0.077119,0.041366,25.0,6.386558,0.4
SYN-SEV-BLR-02-2026-0002756-f21420,BLR-02,4,2,8,2,2.5,39.4032,45.1291,21.0391,0.044587,0.011756,25.0,4.471537,0.4
SYN-SEV-BLR-05-2023-0002297-d55673,BLR-05,1,0,18,0,2.5,5.3785,28.9335,26.4387,0.043634,0.009284,25.0,7.987517,0.4
SYN-SEV-BLR-06-2023-0001302-ac803c,BLR-06,4,6,17,1,2.5,45.38,50.9683,21.0382,0.098481,0.003487,33.4855,8.296358,0.4
SYN-SEV-BLR-04-2024-0001282-a47373,BLR-04,1,3,5,1,2.5,34.8356,62.7426,28.4413,0.455082,0.2036,47.2909,16.541348,0.7
SYN-SEV-BLR-02-2026-0002288-a63dbc,BLR-02,4,3,16,2,2.5,39.2543,39.2514,23.4904,0.070278,0.041959,25.1644,8.342005,0.4
SYN-SEV-BLR-03-2022-0002469-3f9123,BLR-03,3,0,7,2,2.5,89.0854,41.973,21.5669,0.085304,0.030678,47.527,8.704907,0.7
SYN-SEV-BLR-06-2022-0002778-b0f458,BLR-06,3,6,12,1,2.5,87.3503,63.9853,14.2984,0.094365,0.225825,54.7096,8.531753,0.7
SYN-SEV-BLR-03-2023-0000939-e73498,BLR-03,2,6,3,2,2.5,60.3523,30.652,22.3303,0.081919,0.008915,26.2091,10.696293,0.4
SYN-SEV-BLR-05-2025-0002525-7bd9e1,BLR-05,4,6,2,0,2.5,22.5129,41.4043,18.1436,0.088867,0.02159,30.2656,6.973723,0.4
SYN-SEV-BLR-01-2022-0001507-b4f81a,BLR-01,3,1,2,2,2.5,94.2138,51.6982,18.0981,0.084119,0.042346,54.5481,9.582227,0.7
SYN-SEV-BLR-04-2026-0002236-1a6c12,BLR-04,1,0,2,1,2.5,28.9997,25.4025,27.8568,0.075651,0.044465,26.8306,7.528211,0.4
SYN-SEV-BLR-04-2023-0000130-b0331c,BLR-04,4,0,18,1,2.5,30.9263,34.8347,16.9511,0.041182,0.046568,27.4099,6.691086,0.4
SYN-SEV-BLR-02-2024-0000422-4e276b,BLR-02,3,6,22,2,2.5,90.8807,50.2179,16.685,0.321786,0.016886,62.0518,11.936385,0.7
SYN-SEV-BLR-06-2022-0001464-92a958,BLR-06,4,5,13,1,2.5,43.9566,55.478,23.4341,0.245985,0.040213,32.98,9.601898,0.4
SYN-SEV-BLR-05-2024-0002591-f6aa9c,BLR-05,2,6,16,0,2.5,40.111,48.8018,18.9889,0.080704,0.039803,25.0,4.319275,0.4
SYN-SEV-BLR-01-2025-0002683-45767a,BLR-01,1,2,20,2,2.5,25.4703,44.9931,28.7403,0.05622,0.012052,25.0,3.718551,0.4
SYN-SEV-BLR-02-2025-0002870-c48279,BLR-02,1,0,11,2,2.5,40.1908,15.4168,28.8865,0.069526,0.023592,28.8827,6.429145,0.4
SYN-SEV-BLR-01-2023-0001927-295a51,BLR-01,4,6,11,2,2.5,30.4837,25.7846,16.1547,0.042438,0.009678,25.0,5.266981,0.4
SYN-SEV-BLR-01-2023-0001207-133809,BLR-01,1,6,19,2,2.5,8.7245,46.4255,33.4652,0.315831,0.047646,25.0,12.769928,0.4
SYN-SEV-BLR-04-2025-0000880-032b2b,BLR-04,1,4,7,1,2.5,22.1833,54.19,27.9515,0.283568,0.028637,36.1823,9.647465,0.4
SYN-SEV-BLR-02-2026-0000344-202a71,BLR-02,4,1,3,2,2.5,47.2205,56.9413,19.7375,0.252117,0.187931,47.1995,9.441401,0.7
SYN-SEV-BLR-05-2025-0000059-4545c7,BLR-05,1,1,9,0,2.5,23.0438,37.4657,27.4389,0.058777,0.001443,25.0,4.995406,0.4
SYN-SEV-BLR-05-2026-0002675-78f028,BLR-05,1,6,13,0,2.5,13.5215,53.1107,30.3295,0.297711,0.011123,31.8894,8.954655,0.4
SYN-SEV-BLR-04-2022-0000736-98eeed,BLR-04,1,1,17,1,2.5,32.3749,34.8754,34.1992,0.045507,0.047741,25.0,3.847328,0.4
SYN-SEV-BLR-04-2022-0002542-c25b50,BLR-04,1,5,19,1,2.5,25.169,53.8553,32.4474,0.257279,0.030937,29.8095,8.802035,0.4
SYN-SEV-BLR-06-2026-0000144-d5176e,BLR-06,4,4,10,1,2.5,50.8278,51.5903,23.0454,0.07917,0.010956,42.3416,5.218281,0.4
SYN-SEV-BLR-03-2025-0002607-d420d6,BLR-03,1,6,22,2,2.5,25.1713,36.3251,27.7134,0.107445,0.036993,25.0,5.489795,0.4
SYN-SEV-BLR-02-2024-0002684-43e996,BLR-02,1,5,18,2,2.5,22.179,39.0905,23.1246,0.110451,0.016862,25.0,6.992326,0.4
SYN-SEV-BLR-02-2026-0002114-390ac6,BLR-02,2,2,15,2,2.5,54.156,43.7448,26.5661,0.110256,0.032965,45.4893,8.435993,0.7
SYN-SEV-BLR-01-2023-0000139-2decb9,BLR-01,2,3,10,2,2.5,66.3492,48.3409,30.9824,0.058578,0.036934,45.3955,4.080316,0.7
SYN-SEV-BLR-03-2026-0002721-c6ccc0,BLR-03,4,1,10,2,2.5,52.4155,47.8415,23.1504,0.065102,0.031245,41.2449,6.358246,0.4
SYN-SEV-BLR-01-2023-0002641-24cf79,BLR-01,4,3,12,2,2.5,26.1431,31.4368,19.0587,0.084643,0.037991,25.0,3.673731,0.4
SYN-SEV-BLR-02-2023-0001340-de1db8,BLR-02,4,2,8,2,2.5,29.8039,53.0886,26.8613,0.329077,0.023684,28.6421,11.183516,0.4
SYN-SEV-BLR-02-2025-0002540-7d360b,BLR-02,3,3,12,2,2.5,72.4016,65.7849,17.0695,0.316147,0.027871,54.7027,13.946719,0.7
SYN-SEV-BLR-06-2026-0001686-d1e808,BLR-06,1,5,4,1,2.5,25.4629,54.4008,33.3176,0.259675,0.18859,39.0219,8.96005,0.7
SYN-SEV-BLR-04-2022-0000622-f539b7,BLR-04,3,1,10,1,2.5,80.6119,48.41,11.5202,0.086522,0.023914,48.0545,4.485189,0.7
SYN-SEV-BLR-06-2024-0001986-96115b,BLR-06,2,0,15,1,2.5,47.8956,58.0663,26.4656,0.472825,0.03672,43.2224,15.92899,0.7
SYN-SEV-BLR-05-2023-0000599-4984c3,BLR-05,1,2,5,0,2.5,3.818,20.4415,24.1928,0.038905,0.003908,25.0,3.991977,0.4
SYN-SEV-BLR-01-2026-0000895-c73639,BLR-01,4,3,7,2,2.5,48.7388,62.8699,19.3703,0.345965,0.003316,44.8994,13.446165,0.4
SYN-SEV-BLR-05-2022-0000161-472399,BLR-05,1,4,7,0,2.5,15.6993,51.1366,32.0626,0.265616,0.200346,25.8621,10.069565,0.4
SYN-SEV-BLR-05-2022-0001583-ac874a,BLR-05,3,4,14,0,2.5,57.4339,24.8451,16.6518,0.034708,0.032342,35.7489,10.434644,0.4
SYN-SEV-BLR-06-2025-0000498-34b008,BLR-06,1,4,10,1,2.5,19.1944,25.5875,29.0624,0.086676,0.036805,25.0,5.085407,0.4
SYN-SEV-BLR-06-2024-0000546-a0220a,BLR-06,3,4,18,1,2.5,66.8119,41.6127,17.3857,0.066139,5e-05,36.4026,7.053999,0.4
SYN-SEV-BLR-02-2023-0000980-668858,BLR-02,1,6,14,2,2.5,36.0317,33.2844,27.1124,0.070731,0.007418,25.1853,9.442324,0.4
SYN-SEV-BLR-06-2024-0000030-2513ce,BLR-06,3,1,16,1,2.5,69.5921,53.2525,16.1783,0.045347,0.033246,39.9223,5.239817,0.4
SYN-SEV-BLR-04-2023-0001474-4bde0c,BLR-04,1,3,19,1,2.5,39.5255,85.2404,30.0882,0.428056,0.034316,43.6631,11.607597,0.7
SYN-SEV-BLR-04-2026-0000910-096420,BLR-04,1,0,17,1,2.5,28.1827,37.4678,25.8868,0.240915,0.04988,26.4499,11.084128,0.4
SYN-SEV-BLR-04-2025-0002200-89f030,BLR-04,1,4,22,1,2.5,20.6761,42.9529,25.8497,0.355276,0.000567,25.0,11.681218,0.4
SYN-SEV-BLR-06-2023-0000810-56fb58,BLR-06,1,5,19,1,2.5,38.1585,48.465,30.3968,0.080093,0.026229,26.763,7.197501,0.4
SYN-SEV-BLR-02-2022-0000152-bf0907,BLR-02,1,3,23,2,2.5,31.9921,53.9419,30.9041,0.086198,0.038627,39.2007,8.430627,0.4
SYN-SEV-BLR-06-2024-0000324-a4ccb7,BLR-06,3,2,21,1,2.5,75.9127,76.7006,12.3425,0.470211,0.048156,58.7443,17.18453,1.0
SYN-SEV-BLR-03-2025-0002175-733d66,BLR-03,3,5,7,2,2.5,95.1766,45.3248,17.8729,0.054892,0.007201,54.059,7.960354,0.7
SYN-SEV-BLR-01-2026-0000367-496a54,BLR-01,1,0,9,2,2.5,26.7443,30.1317,29.7137,0.078128,0.025116,25.0,7.048515,0.4
SYN-SEV-BLR-06-2022-0002754-fe2ced,BLR-06,3,5,18,1,2.5,63.9165,34.1761,11.47,0.051077,0.045073,31.9211,4.128376,0.4
SYN-SEV-BLR-06-2024-0001236-2fcc00,BLR-06,4,5,19,1,2.5,33.6483,32.0237,19.8122,0.063311,0.042256,25.0,6.487915,0.4
SYN-SEV-BLR-05-2025-0001385-bd6848,BLR-05,1,0,17,0,2.5,29.2088,65.5232,26.4795,0.492849,0.014721,40.1855,11.944809,0.7
SYN-SEV-BLR-06-2024-0001218-c6f52d,BLR-06,3,6,13,1,2.5,78.6889,44.1394,9.0682,0.095737,0.046463,37.4787,6.692172,0.4
SYN-SEV-BLR-03-2022-0000669-4edbad,BLR-03,1,4,17,2,2.5,22.5599,64.7628,31.7981,0.364128,0.028143,38.4265,11.712509,0.4
SYN-SEV-BLR-05-2024-0001625-ba80da,BLR-05,3,5,10,0,2.5,73.8933,42.5804,14.792,0.098428,0.007845,39.6135,9.755733,0.4
SYN-SEV-BLR-02-2024-0002216-2018e6,BLR-02,4,4,10,2,2.5,59.4347,50.92,23.1861,0.072822,0.269695,43.0458,11.070822,0.7
SYN-SEV-BLR-03-2025-0001515-d153fb,BLR-03,4,6,18,2,2.5,45.8107,50.5905,17.8912,0.335006,0.007675,43.4561,14.671043,0.7
SYN-SEV-BLR-04-2022-0000334-0474be,BLR-04,1,5,10,1,2.5,15.8579,28.1445,26.322,0.07982,0.069316,25.0,6.822479,0.4
SYN-SEV-BLR-03-2022-0000819-5497df,BLR-03,2,1,13,2,2.5,45.0018,52.8957,23.0067,0.387938,0.049895,45.3358,12.879224,0.7
SYN-SEV-BLR-03-2023-0000063-4b5da8,BLR-03,4,4,15,2,2.5,43.6039,77.9017,19.0581,0.443412,0.035261,52.1347,16.018232,0.7
SYN-SEV-BLR-01-2023-0002233-edb16b,BLR-01,3,6,15,2,2.5,71.326,39.8837,15.3398,0.072955,0.000976,47.9425,8.953809,0.7
SYN-SEV-BLR-01-2023-0001999-761ac7,BLR-01,3,2,12,2,2.5,88.119,64.2192,19.0509,0.117347,0.032658,58.8959,7.836237,0.7
SYN-SEV-BLR-02-2024-0002528-d993c5,BLR-02,2,5,17,2,2.5,44.2192,42.5389,19.6626,0.116612,0.043985,32.6289,8.521516,0.4
SYN-SEV-BLR-03-2025-0001737-3b6c92,BLR-03,3,4,15,2,2.5,69.4144,24.4338,16.6062,0.048023,0.006779,38.689,5.906635,0.4
SYN-SEV-BLR-01-2025-0002437-95bf23,BLR-01,4,1,8,2,2.5,38.4069,76.8706,21.5982,0.469768,0.034948,47.2519,12.902743,0.7
SYN-SEV-BLR-03-2025-0001509-ec5d53,BLR-03,2,1,7,2,2.5,61.2419,60.6372,25.8147,0.279287,0.002321,42.0603,10.892168,0.7
SYN-SEV-BLR-03-2024-0000951-1a9306,BLR-03,1,4,10,2,2.5,27.2441,16.6652,28.0964,0.060577,0.008016,25.0,7.137834,0.4
SYN-SEV-BLR-02-2024-0001460-cd87a9,BLR-02,1,2,10,2,2.5,28.2184,49.5844,30.8621,0.057119,0.020961,25.0,6.033022,0.4
SYN-SEV-BLR-05-2024-0002987-c7de43,BLR-05,4,3,4,0,2.5,18.9925,36.3127,17.4819,0.037302,0.038584,25.0,5.108211,0.4
SYN-SEV-BLR-01-2024-0001879-2fb73a,BLR-01,1,1,15,2,2.5,22.2336,35.7958,25.7909,0.047269,0.033415,25.0,3.805168,0.4
SYN-SEV-BLR-02-2022-0002954-7b7442,BLR-02,4,3,2,2,2.5,48.0058,45.109,24.1688,0.071653,0.042167,35.7766,7.145931,0.4
SYN-SEV-BLR-03-2026-0000873-3ba851,BLR-03,3,6,7,2,2.5,90.772,55.708,16.5503,0.114024,0.02216,54.0044,9.604814,0.7
SYN-SEV-BLR-05-2024-0001025-d9dffc,BLR-05,3,0,16,0,2.5,74.6846,56.4593,12.1453,0.08418,0.034417,39.3083,6.743857,0.4
SYN-SEV-BLR-03-2022-0002775-d7205d,BLR-03,1,6,10,2,2.5,32.3485,44.3906,25.016,0.072082,0.009835,25.0,3.949164,0.4
SYN-SEV-BLR-03-2022-0002799-3d84f0,BLR-03,3,0,17,2,2.5,92.7775,53.2873,20.9622,0.078415,0.020156,52.8046,11.084072,0.7
SYN-SEV-BLR-02-2022-0000512-4bc759,BLR-02,4,3,13,2,2.5,45.9023,46.3507,21.5818,0.344875,0.035219,32.5844,8.8536,0.4
SYN-SEV-BLR-05-2023-0002903-7408c9,BLR-05,1,2,19,0,2.5,13.4616,44.6787,27.3892,0.082939,0.040204,25.6118,7.380951,0.4
SYN-SEV-BLR-03-2023-0000465-c8cb29,BLR-03,3,3,17,2,2.5,73.9764,55.7034,16.8847,0.11662,0.009042,49.414,8.474045,0.7
SYN-SEV-BLR-06-2022-0002154-a11aef,BLR-06,4,3,20,1,2.5,36.0948,36.6238,16.2876,0.05748,0.038341,27.7033,7.480382,0.4
SYN-SEV-BLR-02-2022-0000158-692b13,BLR-02,4,4,18,2,2.5,39.4096,41.5036,26.1889,0.043657,0.043204,29.4848,3.249352,0.4
SYN-SEV-BLR-03-2024-0002187-9a9849,BLR-03,3,0,16,2,2.5,72.6037,56.392,14.6487,0.111838,0.017673,43.4762,7.068962,0.7
SYN-SEV-BLR-03-2022-0001281-b038af,BLR-03,2,5,16,2,2.5,52.0603,56.2221,19.0962,0.33154,5.1e-05,45.7621,14.327901,0.7
SYN-SEV-BLR-05-2023-0000377-32cc50,BLR-05,1,3,16,0,2.5,35.1823,41.4946,28.9695,0.087041,0.014922,29.4675,7.416299,0.4
SYN-SEV-BLR-04-2026-0002062-3f163b,BLR-04,4,2,10,1,2.5,43.8088,61.3681,16.4455,0.421161,0.007829,45.6266,14.782464,0.7
SYN-SEV-BLR-06-2025-0002250-a8eb8a,BLR-06,4,5,14,1,2.5,37.2499,39.4348,17.4148,0.031829,0.008249,30.2485,3.052587,0.4
SYN-SEV-BLR-05-2026-0000845-21ea1f,BLR-05,3,3,2,0,2.5,68.836,47.7529,9.1919,0.077905,0.040624,41.6518,6.233406,0.7
SYN-SEV-BLR-01-2024-0001189-a213db,BLR-01,1,2,7,2,2.5,48.9574,54.8566,28.0056,0.343582,0.00856,45.5231,12.318287,0.7
SYN-SEV-BLR-03-2023-0001197-86675c,BLR-03,4,1,20,2,2.5,43.3029,61.2988,20.0275,0.393157,0.038961,40.9338,14.359872,0.7
SYN-SEV-BLR-02-2024-0002270-0427d7,BLR-02,2,4,13,2,2.5,55.8624,39.9959,26.5136,0.044384,0.037384,38.1975,4.213353,0.4
SYN-SEV-BLR-06-2025-0000510-f77c0f,BLR-06,3,6,16,1,2.5,84.7393,78.6615,15.1829,0.450463,0.01502,61.4229,15.512556,1.0
SYN-SEV-BLR-05-2023-0002849-cd254c,BLR-05,1,1,12,0,2.5,7.3295,71.0342,24.0405,0.4599,0.036384,33.0602,14.569997,0.4
SYN-SEV-BLR-04-2023-0002626-aecb01,BLR-04,1,6,9,1,2.5,13.3974,45.8405,26.7311,0.413614,0.04917,25.4743,12.118849,0.4
SYN-SEV-BLR-04-2025-0000070-93f56c,BLR-04,2,3,15,1,2.5,40.1625,50.5012,20.9886,0.391922,0.024836,48.7754,11.294189,0.7
SYN-SEV-BLR-06-2025-0001026-7d9a48,BLR-06,3,4,7,1,2.5,73.076,30.5862,17.9684,0.046459,0.039497,48.123,5.757687,0.7
SYN-SEV-BLR-06-2022-0001974-3ed3e2,BLR-06,1,3,5,1,2.5,25.561,28.8472,29.9025,0.102407,0.01713,25.0,8.864972,0.4
SYN-SEV-BLR-02-2022-0002204-b1883a,BLR-02,2,5,20,2,2.5,52.7812,25.9159,20.6621,0.116329,0.037985,39.9464,9.371604,0.4
SYN-SEV-BLR-04-2023-0001450-570ab4,BLR-04,1,0,7,1,2.5,15.7477,36.1392,26.7298,0.070729,0.005122,25.0,2.748889,0.4
SYN-SEV-BLR-05-2022-0000869-0ffd59,BLR-05,4,2,17,0,2.5,47.0038,47.5152,18.2506,0.290828,0.010387,33.3775,13.796275,0.4
SYN-SEV-BLR-03-2025-0002463-c2d432,BLR-03,3,0,10,2,2.5,99.9838,58.7411,17.3103,0.09191,0.035949,55.5859,12.302745,0.7
SYN-SEV-BLR-02-2022-0001148-cdd01a,BLR-02,3,4,10,2,2.5,78.7165,55.9239,20.7736,0.065711,0.022657,43.7498,10.657332,0.4
SYN-SEV-BLR-01-2023-0001051-231af6,BLR-01,3,2,8,2,2.5,87.7042,37.1998,20.1891,0.085455,0.049521,50.5506,11.360623,0.7
SYN-SEV-BLR-02-2022-0000776-45479a,BLR-02,1,0,16,2,2.5,34.2952,44.7124,39.2933,0.065387,0.02767,25.0,6.17999,0.4
