zone_id,year,week_of_year,season_index,week_of_season,risk_tier_index,radius_km,rain_norm_mean,rain_norm_p95,traffic_norm_mean,outage_active_ratio,event_flag_active_ratio,aqi_norm_mean,recent_4week_disruption_days,prev_4week_zdi_mean,prev_4week_zdi_p95,seasonal_disruption_days
BLR-03,2022,13,1,13,2,2.5,28.999,48.262,32.866,0.03815,0.03952,23.718,0.714,24.514,29.591,1.006
BLR-04,2022,13,1,13,1,2.5,10.851,24.515,23.869,0.03855,0.02197,23.296,0.656,22.398,26.79,0.936
BLR-05,2022,13,1,13,0,2.5,14.237,34.152,31.579,0.01686,0.02209,30.886,0.584,23.603,32.868,0.571
BLR-06,2022,13,1,13,1,2.5,8.472,27.632,29.247,0.03669,0.01094,25.697,0.676,25.036,31.911,0.457
BLR-01,2022,14,1,14,2,2.5,10.677,36.23,29.489,0.0408,0.01105,24.207,0.709,27.001,32.846,0.58
BLR-02,2022,14,1,14,2,2.5,20.603,48.584,37.392,0.02797,0.01959,27.714,0.759,29.395,31.344,0.636
BLR-03,2022,14,1,14,2,2.5,21.309,43.864,34.268,0.02967,0.02287,25.098,0.78,24.988,29.405,0.353
BLR-04,2022,14,1,14,1,2.5,11.316,36.09,34.025,0.02991,0.03923,26.406,0.731,21.817,26.673,0.386
BLR-05,2022,14,1,14,0,2.5,7.179,25.403,29.905,0.0232,0.0289,28.168,0.634,23.225,32.535,0.599
BLR-06,2022,14,1,14,1,2.5,14.938,40.27,23.854,0.03719,0.03409,24.515,0.657,24.206,30.995,0.289
BLR-01,2022,15,1,15,2,2.5,25.202,46.563,34.011,0.04495,0.03684,25.301,0.711,24.824,28.774,0.99
BLR-02,2022,15,1,15,2,2.5,14.338,40.6,33.504,0.04092,0.00184,27.278,0.815,28.02,31.056,0.863
BLR-03,2022,15,1,15,2,2.5,23.967,35.388,29.694,0.03739,0.03483,26.223,0.669,25.338,30.77,0.893
BLR-04,2022,15,1,15,1,2.5,17.972,42.456,31.66,0.03355,0.03605,27.465,0.656,21.571,26.055,0.933
BLR-05,2022,15,1,15,0,2.5,9.953,35.168,29.969,0.02269,0.00797,25.454,0.627,22.102,25.858,0.382
BLR-06,2022,15,1,15,1,2.5,13.354,35.202,43.012,0.03132,0.01098,23.664,0.549,24.755,30.772,0.689
BLR-01,2022,16,1,16,2,2.5,27.06,51.44,30.512,0.03205,0.02428,24.29,0.822,25.805,31.391,0.462
BLR-02,2022,16,1,16,2,2.5,27.448,53.709,26.867,0.03118,0.02585,25.042,0.837,27.058,33.678,0.69
BLR-03,2022,16,1,16,2,2.5,22.941,35.32,29.938,0.04443,0.02158,22.414,0.761,28.253,35.125,0.55
BLR-04,2022,16,1,16,1,2.5,7.196,30.634,28.622,0.0223,0.01355,28.097,0.751,24.88,30.738,0.403
BLR-05,2022,16,1,16,0,2.5,29.566,54.049,31.634,0.03081,0.01463,27.489,0.534,19.318,21.94,0.846
BLR-06,2022,16,1,16,1,2.5,8.383,35.308,23.355,0.02468,0.00433,28.467,0.586,24.341,33.592,0.31
BLR-01,2022,17,1,17,2,2.5,33.311,59.68,37.918,0.03317,0.01209,28.491,0.696,26.315,31.796,1.094
BLR-02,2022,17,1,17,2,2.5,25.46,43.626,31.432,0.03986,0.02682,27.895,0.756,28.623,36.317,0.638
BLR-03,2022,17,1,17,2,2.5,28.653,45.999,35.991,0.02565,0.03806,22.603,0.701,29.679,36.796,0.636
BLR-04,2022,17,1,17,1,2.5,15.041,42.643,24.061,0.02796,0.01435,27.845,0.665,24.102,33.087,0.404
BLR-05,2022,17,1,17,0,2.5,8.91,19.294,22.508,0.01987,0.03147,28.255,0.599,22.72,24.719,0.598
BLR-06,2022,17,1,17,1,2.5,20.572,36.486,41.811,0.03801,0.0059,31.68,0.436,21.724,27.864,0.747
BLR-01,2022,18,2,1,2,2.5,47.032,57.496,44.562,0.0408,0.00059,27.278,0.781,30.56,37.318,1.038
BLR-02,2022,18,2,1,2,2.5,33.205,51.777,33.129,0.03526,0.03112,28.56,0.707,29.044,37.166,0.841
BLR-03,2022,18,2,1,2,2.5,47.885,66.13,32.391,0.02622,0.03856,21.013,0.608,29.944,38.403,0.758
BLR-04,2022,18,2,1,1,2.5,40.205,61.154,36.054,0.0255,0.00263,24.401,0.532,24.707,33.604,1.298
BLR-05,2022,18,2,1,0,2.5,26.161,37.946,34.596,0.03206,0.02807,23.782,0.606,22.331,25.528,0.56
BLR-06,2022,18,2,1,1,2.5,38.735,56.898,39.001,0.0219,0.01664,26.126,0.509,23.616,30.731,0.932
BLR-01,2022,19,2,2,2,2.5,53.336,65.014,43.179,0.03978,0.00386,27.259,0.896,34.2,41.639,0.914
BLR-02,2022,19,2,2,2,2.5,47.032,69.008,41.404,0.04236,0.03001,26.241,0.758,31.102,39.867,0.954
BLR-03,2022,19,2,2,2,2.5,45.035,59.072,44.792,0.04191,0.00433,19.625,0.709,33.033,40.714,0.788
BLR-04,2022,19,2,2,1,2.5,48.942,69.986,35.144,0.02053,0.02571,27.075,0.76,26.099,34.893,1.126
BLR-05,2022,19,2,2,0,2.5,32.02,42.13,37.661,0.02633,0.03479,21.749,0.597,23.877,28.974,0.725
BLR-06,2022,19,2,2,1,2.5,39.361,55.497,40.851,0.03443,0.0148,25.323,0.669,25.745,32.157,0.929
BLR-01,2022,20,2,3,2,2.5,36.369,51.267,30.075,0.03471,0.02648,24.789,0.877,36.466,40.804,0.774
BLR-02,2022,20,2,3,2,2.5,41.126,59.885,42.748,0.02591,0.02669,23.429,0.781,32.765,39.653,0.948
BLR-03,2022,20,2,3,2,2.5,45.999,61.905,40.631,0.03994,0.00031,21.818,0.683,34.844,40.44,0.717
BLR-04,2022,20,2,3,1,2.5,38.803,64.314,32.556,0.02037,0.00169,29.055,0.808,27.594,36.77,0.723
BLR-05,2022,20,2,3,0,2.5,31.42,41.795,34.928,0.03103,0.01299,18.44,0.682,26.665,31.45,0.688
BLR-06,2022,20,2,3,1,2.5,38.336,57.767,41.453,0.02621,0.01583,23.366,0.73,28.741,33.634,1.108
BLR-01,2022,21,2,4,2,2.5,29.98,46.269,33.64,0.04138,0.0291,25.136,0.955,38.225,42.449,0.978
BLR-02,2022,21,2,4,2,2.5,43.562,56.75,29.438,0.03488,0.03091,23.695,0.845,34.6,41.726,1.106
BLR-03,2022,21,2,4,2,2.5,37.458,63.015,29.504,0.02802,0.02509,24.438,0.725,38.417,43.611,1.076
BLR-04,2022,21,2,4,1,2.5,32.833,50.967,34.322,0.03663,0.00228,30.48,0.888,30.52,36.778,0.581
BLR-05,2022,21,2,4,0,2.5,26.58,50.833,33.483,0.02399,0.03584,19.975,0.643,25.077,30.438,0.988
BLR-06,2022,21,2,4,1,2.5,40.595,66.78,36.903,0.03429,0.01374,21.726,0.929,32.91,39.794,1.199
BLR-01,2022,22,2,5,2,2.5,39.508,56.219,35.259,0.03318,0.01132,23.372,0.926,35.857,39.991,0.597
BLR-02,2022,22,2,5,2,2.5,50.49,65.605,42.754,0.03813,0.02895,27.168,0.962,35.112,39.675,1.337
BLR-03,2022,22,2,5,2,2.5,33.774,56.346,45.359,0.0369,0.01568,25.899,0.835,39.189,42.967,1.188
BLR-04,2022,22,2,5,1,2.5,32.575,55.873,25.677,0.03053,0.02742,26.66,0.932,33.0,38.642,1.01
BLR-05,2022,22,2,5,0,2.5,37.251,56.004,45.632,0.01775,0.00906,23.396,0.74,26.423,30.957,1.048
BLR-06,2022,22,2,5,1,2.5,39.239,55.301,33.743,0.02262,0.03065,20.957,1.042,35.15,42.623,0.564
BLR-01,2022,23,2,6,2,2.5,46.258,63.654,41.482,0.02975,0.02705,22.022,0.816,34.945,39.828,0.766
BLR-02,2022,23,2,6,2,2.5,39.017,57.46,43.961,0.03236,0.0334,31.673,1.086,35.888,39.207,1.027
BLR-03,2022,23,2,6,2,2.5,27.61,52.315,30.339,0.02777,0.03205,25.329,0.942,38.059,41.404,0.628
BLR-04,2022,23,2,6,1,2.5,44.637,59.768,28.07,0.02546,0.03052,26.197,0.86,32.613,39.319,1.135
BLR-05,2022,23,2,6,0,2.5,28.695,39.175,33.968,0.02504,0.00213,22.953,0.862,29.237,35.889,0.719
BLR-06,2022,23,2,6,1,2.5,42.62,66.865,29.556,0.02574,0.0055,22.753,0.95,34.877,43.412,1.182
BLR-01,2022,24,2,7,2,2.5,45.436,60.043,37.301,0.03598,0.0334,22.266,0.779,35.338,41.81,1.12
BLR-02,2022,24,2,7,2,2.5,48.981,73.271,38.767,0.02722,0.01828,31.602,1.105,35.977,38.948,1.092
BLR-03,2022,24,2,7,2,2.5,46.939,68.006,41.481,0.03333,0.00962,24.497,0.902,36.268,43.062,1.005
BLR-04,2022,24,2,7,1,2.5,20.118,40.092,30.386,0.0294,0.01562,21.231,0.862,32.215,36.237,0.712
BLR-05,2022,24,2,7,0,2.5,28.53,49.838,39.676,0.0297,0.03086,21.769,0.861,30.32,37.003,0.701
BLR-06,2022,24,2,7,1,2.5,39.221,61.738,30.394,0.03623,0.02527,25.719,1.013,34.574,44.542,1.002
BLR-01,2022,25,2,8,2,2.5,43.548,70.349,41.138,0.06853,0.14964,22.813,0.865,35.598,42.661,1.68
BLR-02,2022,25,2,8,2,2.5,41.477,58.101,38.957,0.03987,0.03558,30.881,1.141,35.879,39.685,0.978
BLR-03,2022,25,2,8,2,2.5,49.456,73.877,34.502,0.02658,0.02908,21.374,0.974,35.692,43.646,1.005
BLR-04,2022,25,2,8,1,2.5,35.274,56.122,31.177,0.0338,0.01704,21.111,0.859,29.289,33.983,0.707
BLR-05,2022,25,2,8,0,2.5,31.42,58.483,47.232,0.02775,0.003,18.89,0.864,32.165,37.671,0.385
BLR-06,2022,25,2,8,1,2.5,29.838,40.465,28.312,0.03557,0.00269,23.292,0.987,34.928,43.773,0.616
BLR-01,2022,26,2,9,2,2.5,48.491,72.227,36.347,0.03559,0.02296,20.847,1.041,40.965,50.461,1.188
BLR-02,2022,26,2,9,2,2.5,37.064,57.174,34.902,0.03021,0.01047,22.491,1.109,37.414,44.832,1.34
BLR-03,2022,26,2,9,2,2.5,51.428,69.565,45.183,0.0339,0.03595,24.74,0.956,35.944,43.214,0.957
BLR-04,2022,26,2,9,1,2.5,44.884,70.928,39.436,0.03424,0.03405,23.936,0.891,28.968,33.688,0.794
BLR-05,2022,26,2,9,0,2.5,34.995,59.221,36.652,0.02608,0.00105,16.771,0.713,34.924,40.11,0.719
BLR-06,2022,26,2,9,1,2.5,29.368,52.308,52.053,0.03538,0.02103,23.252,0.841,33.152,39.377,0.821
BLR-01,2022,27,3,1,2,2.5,70.655,96.459,38.786,0.0378,0.03121,22.152,1.188,42.353,52.113,1.599
BLR-02,2022,27,3,1,2,2.5,75.458,88.422,51.534,0.09897,0.11675,24.199,1.109,36.776,44.797,2.073
BLR-03,2022,27,3,1,2,2.5,76.6,96.202,46.412,0.02837,0.0201,23.798,0.899,38.777,47.421,1.087
BLR-04,2022,27,3,1,1,2.5,72.243,97.098,36.394,0.02091,0.00113,19.902,0.837,31.333,37.23,0.937
BLR-05,2022,27,3,1,0,2.5,59.475,80.764,35.657,0.03413,0.01159,12.346,0.631,34.905,37.884,0.947
BLR-06,2022,27,3,1,1,2.5,74.005,92.722,49.655,0.08217,0.10276,20.683,0.905,32.83,40.229,1.643
BLR-01,2022,28,3,2,2,2.5,68.129,86.526,40.029,0.02996,0.0107,22.265,1.397,47.318,55.82,1.497
BLR-02,2022,28,3,2,2,2.5,75.346,91.24,41.18,0.03125,0.02311,22.533,1.371,44.498,55.825,1.355
BLR-03,2022,28,3,2,2,2.5,87.308,100.0,47.594,0.0293,0.03867,21.671,1.013,43.207,49.644,1.529
BLR-04,2022,28,3,2,1,2.5,60.684,85.933,41.879,0.03765,0.01724,18.253,0.787,33.82,41.81,1.38
BLR-05,2022,28,3,2,0,2.5,66.595,77.919,47.344,0.03029,0.02017,11.726,0.688,36.893,40.653,1.083
BLR-06,2022,28,3,2,1,2.5,59.606,75.71,45.776,0.0351,0.03756,20.029,1.02,40.165,49.598,1.223
BLR-01,2022,29,3,3,2,2.5,69.612,87.837,47.404,0.03531,0.02425,19.689,1.491,50.786,57.955,1.828
BLR-02,2022,29,3,3,2,2.5,71.346,96.255,47.535,0.03917,0.02129,20.041,1.437,46.876,55.1,1.664
BLR-03,2022,29,3,3,2,2.5,63.737,86.792,35.839,0.02553,0.02752,15.41,1.144,48.353,51.619,0.88
BLR-04,2022,29,3,3,1,2.5,66.581,79.65,35.052,0.03239,0.02516,18.19,0.955,39.644,47.426,1.166
BLR-05,2022,29,3,3,0,2.5,64.905,80.551,41.495,0.02881,0.00606,9.487,0.783,42.616,47.047,0.936
BLR-06,2022,29,3,3,1,2.5,71.024,84.756,43.657,0.03324,0.013,17.107,1.076,43.125,52.497,1.712
BLR-01,2022,30,3,4,2,2.5,66.713,89.69,48.992,0.03887,0.02573,18.176,1.528,51.449,57.55,1.67
BLR-02,2022,30,3,4,2,2.5,77.97,93.173,43.961,0.0391,0.00829,18.671,1.608,52.152,58.933,1.269
BLR-03,2022,30,3,4,2,2.5,79.499,96.334,50.42,0.04137,0.03921,19.655,1.113,50.881,55.228,1.685
BLR-04,2022,30,3,4,1,2.5,64.309,78.925,44.755,0.02404,0.01916,13.018,1.069,42.444,48.8,1.076
BLR-05,2022,30,3,4,0,2.5,60.178,82.235,37.804,0.02776,0.02124,12.795,0.921,45.184,51.458,1.062
BLR-06,2022,30,3,4,1,2.5,75.582,100.0,44.317,0.0387,0.01628,18.42,1.35,47.76,59.67,1.884
BLR-01,2022,31,3,5,2,2.5,65.026,76.637,32.852,0.0357,0.02297,17.333,1.649,53.082,59.143,1.197
BLR-02,2022,31,3,5,2,2.5,79.057,100.0,54.563,0.03491,0.01588,23.187,1.59,56.874,65.349,1.303
BLR-03,2022,31,3,5,2,2.5,70.398,98.092,45.751,0.08056,0.1404,22.775,1.295,53.41,56.941,1.813
BLR-04,2022,31,3,5,1,2.5,71.475,86.106,47.575,0.03473,0.00745,14.569,1.14,43.451,48.304,1.158
BLR-05,2022,31,3,5,0,2.5,72.968,92.243,36.963,0.02839,0.00347,13.595,1.007,47.537,54.832,1.412
BLR-06,2022,31,3,5,1,2.5,68.913,96.085,50.598,0.03446,0.01208,20.599,1.615,52.328,63.759,1.32
BLR-01,2022,32,3,6,2,2.5,70.862,89.908,47.883,0.03907,0.0358,17.159,1.548,47.731,55.084,1.335
BLR-02,2022,32,3,6,2,2.5,73.619,86.377,46.164,0.03711,0.02991,19.451,1.398,53.704,61.712,1.446
BLR-03,2022,32,3,6,2,2.5,73.892,97.477,46.35,0.02664,0.03493,18.396,1.477,56.693,64.157,1.578
BLR-04,2022,32,3,6,1,2.5,61.196,81.505,40.773,0.05622,0.07552,15.73,1.195,43.643,48.623,1.537
BLR-05,2022,32,3,6,0,2.5,57.106,75.328,40.476,0.02425,0.00231,14.839,1.123,48.921,56.037,1.335
BLR-06,2022,32,3,6,1,2.5,66.39,82.591,41.476,0.03988,0.00255,19.913,1.535,50.353,58.875,1.259
BLR-01,2022,33,3,7,2,2.5,74.216,100.0,34.875,0.03341,0.02584,19.373,1.508,49.008,58.173,1.079
BLR-02,2022,33,3,7,2,2.5,69.376,89.083,35.424,0.03196,0.02614,20.094,1.42,55.173,62.855,1.274
BLR-03,2022,33,3,7,2,2.5,74.286,89.657,43.596,0.03589,0.02694,14.627,1.489,55.572,67.192,1.614
BLR-04,2022,33,3,7,1,2.5,76.905,88.937,40.395,0.02838,0.03238,16.229,1.234,47.306,56.532,1.376
BLR-05,2022,33,3,7,0,2.5,71.918,94.577,43.918,0.02981,0.00195,13.393,1.186,44.104,50.574,1.725
BLR-06,2022,33,3,7,1,2.5,63.043,87.727,45.471,0.08558,0.09796,18.011,1.544,49.56,58.628,1.872
BLR-01,2022,34,3,8,2,2.5,72.336,99.409,45.49,0.04323,0.03519,17.478,1.32,48.4,58.117,1.492
BLR-02,2022,34,3,8,2,2.5,68.004,83.741,33.752,0.02798,0.01665,17.074,1.323,53.604,60.258,1.328
BLR-03,2022,34,3,8,2,2.5,70.139,96.604,34.69,0.04436,0.0225,14.635,1.673,56.472,67.08,1.578
BLR-04,2022,34,3,8,1,2.5,78.268,89.932,38.812,0.02381,0.02898,15.814,1.287,47.356,57.274,1.083
BLR-05,2022,34,3,8,0,2.5,64.707,84.767,33.146,0.03239,0.01918,11.076,1.383,44.987,50.696,1.278
BLR-06,2022,34,3,8,1,2.5,85.497,100.0,58.934,0.03209,0.0097,18.66,1.584,53.373,66.289,1.396
BLR-01,2022,35,3,9,2,2.5,67.465,82.173,40.997,0.03495,0.02051,22.228,1.276,49.146,56.517,1.381
BLR-02,2022,35,3,9,2,2.5,68.734,88.86,45.386,0.02792,0.00885,17.036,1.338,52.061,55.213,1.191
BLR-03,2022,35,3,9,2,2.5,70.179,95.179,47.153,0.03809,0.01997,15.03,1.646,55.196,66.884,0.977
BLR-04,2022,35,3,9,1,2.5,64.365,88.674,41.436,0.03441,0.00677,11.421,1.288,50.337,58.554,1.178
BLR-05,2022,35,3,9,0,2.5,75.359,100.0,50.305,0.08538,0.13552,12.318,1.438,46.707,54.677,1.818
BLR-06,2022,35,3,9,1,2.5,61.434,82.531,35.193,0.02976,0.01933,20.393,1.462,56.423,66.03,1.257
BLR-01,2022,36,3,10,2,2.5,74.105,98.741,43.873,0.04112,0.02696,21.763,1.322,52.882,58.115,1.538
BLR-02,2022,36,3,10,2,2.5,62.126,76.938,39.069,0.03246,0.01588,15.182,1.31,52.472,52.81,1.201
BLR-03,2022,36,3,10,2,2.5,78.041,100.0,37.639,0.02687,0.03038,14.08,1.437,51.23,61.456,1.449
BLR-04,2022,36,3,10,1,2.5,61.599,85.718,40.901,0.03716,0.02263,14.819,1.293,50.702,58.355,1.311
BLR-05,2022,36,3,10,0,2.5,69.185,80.023,38.549,0.03351,0.00297,14.9,1.539,52.922,65.884,1.346
BLR-06,2022,36,3,10,1,2.5,75.747,99.288,41.587,0.02797,0.02851,20.13,1.446,54.637,65.063,1.846
BLR-01,2022,37,3,11,2,2.5,77.288,100.0,42.315,0.04477,0.0056,20.253,1.373,52.846,58.313,1.45
