event_id,zone_id,season,start_hour,day_of_week,early_rain_mean,early_outage_ratio,early_traffic_mean,early_aqi_mean,peak_zdi_first_hour,zdi_rise_rate_first_hour,event_flags_active_count_first_hour,affected_hours,avg_hours_fraction
SYN-BLR-06-2025-0001068-c08bd1,BLR-06,post_monsoon,12,5,36.2922,0.405411,51.2888,21.5008,29.8923,14.411492,0,2.9731,0.297314
SYN-BLR-01-2024-0000583-70f8ce,BLR-01,pre_monsoon,18,4,51.2386,0.12884,33.8952,30.0123,39.2206,9.362915,0,4.4652,0.446522
SYN-BLR-03-2023-0000957-1f1c89,BLR-03,monsoon,18,6,76.7638,0.110484,35.715,18.8591,48.4471,11.477965,1,7.6819,0.768191
SYN-BLR-06-2022-0000156-0f5b8c,BLR-06,pre_monsoon,16,1,49.6613,0.048937,29.1628,18.9127,27.624,9.907752,0,4.9947,0.499467
SYN-BLR-03-2024-0002913-da5961,BLR-03,post_monsoon,13,6,47.3044,0.066832,31.1011,28.6228,24.6338,7.498504,0,4.3932,0.439323
SYN-BLR-02-2025-0001214-3573c3,BLR-02,monsoon,6,4,83.8204,0.084719,46.1229,18.2542,52.0306,7.15246,0,7.038,0.703796
SYN-BLR-05-2023-0000611-db3f48,BLR-05,dry,19,6,16.9873,0.058266,22.953,22.1036,16.9619,8.155285,0,1.805,0.180502
SYN-BLR-04-2026-0001066-243834,BLR-04,monsoon,10,1,60.9506,0.038778,28.4236,13.8389,33.419,8.086401,0,5.5463,0.554633
SYN-BLR-03-2026-0002667-c6ef5c,BLR-03,post_monsoon,23,4,43.764,0.066957,31.9415,20.9845,60.4116,14.972999,3,5.4361,0.543613
SYN-BLR-06-2026-0000150-70cfe4,BLR-06,dry,12,0,20.7457,0.549976,44.1666,31.8781,40.3695,16.940112,0,1.3129,0.131292
SYN-BLR-06-2022-0001344-9d6f4e,BLR-06,monsoon,22,6,81.3186,0.115984,48.9336,16.2089,61.4254,12.579427,0,6.846,0.6846
SYN-BLR-02-2026-0002432-e4e1fb,BLR-02,post_monsoon,21,6,39.8942,0.078827,29.7793,19.8244,27.6003,6.099269,0,3.5708,0.357079
SYN-BLR-05-2026-0001565-89fe8d,BLR-05,dry,10,2,4.0558,0.500988,52.0528,29.5499,25.0002,15.49316,0,0.25,0.025
SYN-BLR-06-2025-0000630-e52652,BLR-06,pre_monsoon,18,3,46.2674,0.048794,39.233,21.464,34.6061,10.630261,0,4.522,0.452201
SYN-BLR-03-2026-0001365-3d0f04,BLR-03,monsoon,18,2,96.248,0.050453,48.2576,23.0135,58.2882,14.698463,0,7.9068,0.790685
SYN-BLR-03-2025-0001041-4692f0,BLR-03,monsoon,13,5,78.7507,0.375467,57.3745,19.3182,53.4688,15.562709,0,6.1484,0.614844
SYN-BLR-01-2023-0002449-643bb4,BLR-01,dry,7,4,23.4124,0.079638,25.7899,34.9628,27.2496,7.629444,0,2.4675,0.246749
SYN-BLR-03-2022-0002487-38e05b,BLR-03,pre_monsoon,13,1,50.9849,0.076709,32.8886,23.8568,30.8381,6.550498,0,4.8074,0.480736
SYN-BLR-03-2022-0000255-805384,BLR-03,monsoon,13,6,87.6092,0.053325,37.0925,19.9934,38.7178,8.691341,0,7.2304,0.723041
SYN-BLR-02-2025-0000782-d99ce1,BLR-02,post_monsoon,17,2,47.8078,0.123598,29.8522,20.8577,30.1399,15.071788,0,3.5595,0.355953
SYN-BLR-05-2022-0002315-b82184,BLR-05,dry,5,3,28.5261,0.045651,42.6418,25.8233,20.3299,3.216659,0,2.3226,0.232257
SYN-BLR-02-2023-0002444-258727,BLR-02,monsoon,18,6,84.6006,0.499824,59.8966,20.886,57.8414,19.528716,0,5.7406,0.574057
SYN-BLR-04-2025-0000448-7e7997,BLR-04,monsoon,18,6,90.5596,0.04225,37.9163,19.083,56.6242,9.867257,1,8.7476,0.874759
SYN-BLR-02-2026-0001268-bb3512,BLR-02,monsoon,17,6,94.7374,0.114248,44.6775,21.7752,55.1244,12.342394,0,8.086,0.808602
SYN-BLR-02-2023-0000590-73d326,BLR-02,dry,14,6,26.8214,0.118256,34.5093,32.3943,17.3154,8.931698,0,2.6412,0.264121
SYN-BLR-06-2024-0000354-c6fa5c,BLR-06,monsoon,19,2,65.7412,0.062876,43.8515,16.7195,39.5586,11.178171,0,5.7425,0.57425
SYN-BLR-05-2022-0002693-a94b9f,BLR-05,monsoon,14,6,76.0724,0.085662,39.5016,14.2945,38.8389,11.396619,0,6.9689,0.696892
SYN-BLR-05-2025-0000023-a0de5d,BLR-05,pre_monsoon,3,2,31.3757,0.341745,35.1913,25.7054,30.4568,17.179638,0,1.6754,0.167536
SYN-BLR-02-2023-0002204-f4fb9a,BLR-02,dry,17,3,27.6807,0.071674,30.3311,28.762,29.2476,5.843746,0,2.8024,0.280241
SYN-BLR-01-2024-0000253-467619,BLR-01,dry,16,2,23.38,0.108274,30.9913,30.4039,27.3441,5.02271,0,2.1011,0.210108
SYN-BLR-04-2025-0002254-c0a8cf,BLR-04,monsoon,3,4,59.4976,0.064251,32.1887,19.7467,34.5911,12.481474,0,4.7792,0.477917
SYN-BLR-05-2023-0000065-346216,BLR-05,monsoon,6,2,77.4552,0.520764,60.0183,19.3386,65.2577,23.705562,1,6.2077,0.620766
SYN-BLR-02-2023-0001904-8830be,BLR-02,pre_monsoon,14,0,37.3934,0.086811,24.0967,31.019,19.974,10.793387,0,3.3181,0.33181
SYN-BLR-04-2025-0000598-c18286,BLR-04,post_monsoon,19,1,42.5862,0.108761,27.279,18.5088,43.011,11.411544,1,4.0533,0.405328
SYN-BLR-03-2022-0000687-f35f90,BLR-03,post_monsoon,11,2,40.2324,0.542103,45.7931,23.5101,49.3304,17.577932,0,2.6842,0.268418
SYN-BLR-05-2022-0001145-43d7f8,BLR-05,pre_monsoon,1,1,43.6346,0.059294,29.5445,24.84,28.2089,6.7923,0,3.2725,0.327252
SYN-BLR-01-2023-0002299-e6197d,BLR-01,post_monsoon,16,5,67.8366,0.115413,30.1009,25.9773,45.9957,9.190761,0,5.5371,0.553706
SYN-BLR-04-2026-0001522-01d188,BLR-04,pre_monsoon,11,4,54.7232,0.464966,48.6605,21.2841,57.1949,15.509885,0,3.2535,0.325355
SYN-BLR-02-2023-0000686-c1892d,BLR-02,pre_monsoon,7,0,67.728,0.0684,24.3706,25.4778,37.3444,8.292507,0,5.0641,0.506414
SYN-BLR-01-2022-0001999-a5da97,BLR-01,monsoon,2,4,66.2407,0.052946,34.4822,17.911,39.7564,10.720552,0,6.1799,0.617988
SYN-BLR-04-2022-0002554-6410e7,BLR-04,post_monsoon,10,1,58.7831,0.071562,34.4112,23.6378,34.5794,6.46765,0,4.5566,0.455664
SYN-BLR-04-2026-0001342-48d07a,BLR-04,monsoon,4,6,77.7725,0.35714,59.5577,13.9579,66.5222,17.551803,0,5.3549,0.535495
SYN-BLR-01-2025-0000403-8e1eca,BLR-01,dry,6,3,35.7204,0.088544,23.3503,30.3008,31.0993,6.99783,0,2.6553,0.265532
SYN-BLR-04-2024-0000646-60d4e3,BLR-04,dry,18,3,23.4287,0.054778,33.8255,33.5033,25.3392,5.333923,0,2.2799,0.227991
SYN-BLR-02-2024-0001028-aaf4b3,BLR-02,monsoon,13,1,82.8286,0.257438,66.5314,20.652,50.9211,14.469324,0,6.8311,0.683106
SYN-BLR-02-2025-0002306-151aee,BLR-02,dry,21,6,29.3397,0.066635,39.3154,28.2218,27.6581,5.231894,0,2.7841,0.27841
SYN-BLR-06-2023-0002586-4cc683,BLR-06,monsoon,16,1,70.6767,0.080224,52.7107,15.5439,41.3469,6.209886,0,6.2879,0.628789
SYN-BLR-06-2023-0002052-206eeb,BLR-06,post_monsoon,13,2,43.7848,0.557549,58.6849,19.2444,49.5805,19.065425,0,2.508,0.2508
SYN-BLR-03-2023-0002571-dbf360,BLR-03,monsoon,19,6,76.5142,0.305129,55.1322,19.9591,58.4514,10.959659,0,6.4235,0.642347
SYN-BLR-03-2022-0000375-339f8e,BLR-03,monsoon,18,0,80.416,0.094755,35.8535,14.814,50.1613,9.460231,0,7.1417,0.714166
SYN-BLR-02-2022-0001172-c85550,BLR-02,monsoon,17,1,65.5794,0.081407,48.9514,19.3153,47.4631,7.963795,0,6.2451,0.624512
SYN-BLR-02-2025-0002420-f8431f,BLR-02,dry,16,5,34.704,0.085321,28.5261,28.7033,28.8341,6.422583,0,3.0143,0.301434
SYN-BLR-01-2026-0001975-87a76e,BLR-01,dry,1,4,23.7095,0.112503,43.3194,32.4085,16.6636,11.341502,0,1.8424,0.184238
SYN-BLR-04-2023-0002434-ccdc56,BLR-04,pre_monsoon,16,3,48.7826,0.075271,38.8815,23.0474,34.7218,9.816471,0,4.0706,0.40706
SYN-BLR-04-2023-0002374-b17ce2,BLR-04,pre_monsoon,17,5,43.1045,0.045398,29.0461,24.8333,29.8915,5.22536,0,4.4979,0.449788
SYN-BLR-02-2025-0001142-d1aaae,BLR-02,dry,16,0,20.9337,0.119871,39.201,34.6221,18.1667,8.938238,0,1.9736,0.197356
SYN-BLR-01-2025-0001681-f44fbc,BLR-01,dry,16,5,34.2701,0.107946,53.3251,28.5771,32.1519,10.026052,0,3.5517,0.355174
SYN-BLR-03-2024-0001797-da3e89,BLR-03,monsoon,19,2,86.1413,0.078567,45.9995,23.4013,56.3377,6.797251,0,6.6269,0.662692
SYN-BLR-04-2022-0001888-3b7ec7,BLR-04,pre_monsoon,15,0,57.0686,0.36204,53.3211,21.4732,43.0125,17.128067,0,3.7116,0.371164
SYN-BLR-02-2025-0000488-b4cb43,BLR-02,pre_monsoon,14,2,43.0481,0.094289,28.0982,22.4502,33.1108,6.488919,0,4.3676,0.436763
SYN-BLR-03-2025-0001869-90efb3,BLR-03,dry,14,2,24.298,0.105113,23.6337,35.9031,13.4109,7.329101,0,2.3053,0.230531
SYN-BLR-05-2024-0000431-70c8c2,BLR-05,dry,15,3,28.5177,0.086138,43.1289,23.7385,17.6123,6.3226,0,3.117,0.311696
SYN-BLR-03-2025-0000663-12102b,BLR-03,dry,12,4,33.8903,0.12444,36.778,30.4599,34.8952,6.969479,0,3.0105,0.301048
SYN-BLR-02-2026-0000548-5c4755,BLR-02,dry,21,5,16.1811,0.09074,27.9337,31.0124,50.1928,9.841563,3,2.9111,0.291106
SYN-BLR-05-2026-0000185-857769,BLR-05,dry,19,3,20.913,0.045988,35.5702,28.3889,13.8764,4.195936,0,1.9822,0.198223
SYN-BLR-06-2023-0002910-38c175,BLR-06,dry,17,1,22.079,0.248806,51.4839,26.0159,30.9377,13.900946,0,2.6912,0.269125
SYN-BLR-03-2022-0001323-741066,BLR-03,dry,12,3,22.5496,0.107426,31.5002,33.8493,25.2762,5.723264,0,2.7172,0.271716
SYN-BLR-04-2026-0001246-059349,BLR-04,dry,13,6,10.585,0.07977,23.9643,25.0331,15.7667,5.802457,0,1.7718,0.177179
SYN-BLR-05-2025-0002087-5af122,BLR-05,pre_monsoon,21,6,38.8338,0.099037,26.9094,18.9773,33.1711,8.638624,0,3.4868,0.348684
SYN-BLR-02-2022-0002708-0781c6,BLR-02,dry,13,4,21.0258,0.099048,31.8167,30.8606,25.5656,2.939909,0,1.8436,0.184361
SYN-BLR-06-2025-0001086-1432ad,BLR-06,dry,7,3,40.1062,0.080386,44.1715,27.4216,30.0735,7.546763,0,3.4177,0.34177
SYN-BLR-01-2026-0001987-a7e1c6,BLR-01,monsoon,3,2,86.1602,0.066152,43.7875,20.4245,51.9421,4.625508,0,7.0121,0.701213
SYN-BLR-01-2026-0002767-8f8912,BLR-01,post_monsoon,11,2,34.0066,0.287575,53.4146,25.3686,30.5879,13.49388,0,3.2734,0.32734
SYN-BLR-03-2022-0000087-d942a6,BLR-03,pre_monsoon,14,1,59.1557,0.083329,42.1356,20.2475,31.0437,7.514286,0,5.0232,0.502317
SYN-BLR-03-2023-0002925-6462ad,BLR-03,dry,17,0,47.5454,0.054715,45.4553,29.9031,34.3379,7.160887,0,4.0727,0.407272
SYN-BLR-02-2026-0000002-ec49d0,BLR-02,dry,16,3,24.2389,0.113754,32.1054,36.427,29.8031,7.862357,0,3.007,0.300696
SYN-BLR-01-2025-0002497-64a94d,BLR-01,pre_monsoon,17,2,64.0443,0.08652,51.5204,30.4026,42.862,9.753732,0,5.7211,0.572109
SYN-BLR-03-2025-0001707-b338d7,BLR-03,monsoon,0,3,96.0825,0.071231,44.3094,21.5444,59.4107,6.187633,0,7.8021,0.780209
SYN-BLR-02-2025-0002600-c840b1,BLR-02,dry,7,2,41.9933,0.288096,33.8647,27.4367,43.2959,13.436611,0,2.6432,0.26432
SYN-BLR-03-2022-0000939-3f6bf0,BLR-03,post_monsoon,11,6,61.0861,0.091382,52.2686,22.4009,40.4847,5.84116,0,5.0408,0.504078
SYN-BLR-05-2023-0000971-6617d6,BLR-05,monsoon,11,6,70.8179,0.090436,42.0504,17.6095,54.5432,8.415498,0,6.3086,0.630857
SYN-BLR-05-2022-0000767-3066bd,BLR-05,dry,18,5,24.2873,0.068726,27.3583,27.7276,16.1994,7.285793,0,2.2187,0.221871
SYN-BLR-01-2024-0000049-660da4,BLR-01,pre_monsoon,13,6,51.8566,0.074244,41.4256,24.6707,33.9559,3.321163,0,4.5076,0.45076
SYN-BLR-06-2025-0000336-c1d8dc,BLR-06,pre_monsoon,12,0,48.6914,0.097663,38.0053,24.1159,24.5725,9.825373,0,4.4703,0.447031
SYN-BLR-01-2026-0002443-c070a7,BLR-01,monsoon,15,0,66.6567,0.06613,28.3465,22.2515,26.7288,12.004387,0,6.3415,0.634154
SYN-BLR-04-2023-0002974-12c38f,BLR-04,monsoon,8,4,58.594,0.107811,41.0566,16.0933,31.7327,10.446956,0,5.5298,0.552975
SYN-BLR-04-2024-0000214-c4ab26,BLR-04,dry,14,2,24.7348,0.585936,62.9442,28.1837,33.2606,17.269039,0,1.2853,0.12853
SYN-BLR-03-2026-0002109-87b423,BLR-03,pre_monsoon,19,2,39.031,0.314275,39.586,26.6457,33.9625,15.401399,0,2.771,0.277095
SYN-BLR-01-2025-0000175-4782d0,BLR-01,monsoon,8,0,87.67,0.075577,46.8971,15.0559,54.2203,7.571037,0,6.8439,0.68439
SYN-BLR-04-2025-0000514-f54645,BLR-04,dry,19,5,31.6878,0.097205,44.474,27.6377,28.1043,6.88762,0,2.5912,0.259116
SYN-BLR-05-2023-0000389-e07638,BLR-05,dry,19,1,26.5733,0.027845,26.2854,27.1468,23.8728,6.816753,0,2.3202,0.232017
SYN-BLR-03-2026-0000843-f6a4f0,BLR-03,monsoon,15,2,74.1243,0.069206,43.2648,17.0954,53.7038,10.527293,0,6.6098,0.660983
SYN-BLR-05-2024-0000269-6b59a8,BLR-05,dry,19,1,4.1459,0.042919,24.8839,31.8623,6.1501,4.036321,0,0.8982,0.089819
SYN-BLR-06-2024-0000258-ecefac,BLR-06,monsoon,1,5,89.8207,0.107159,45.2848,15.9688,53.4264,11.709686,0,7.0371,0.703707
SYN-BLR-01-2024-0002545-478ea9,BLR-01,monsoon,20,0,73.9682,0.070273,41.1867,18.6653,41.9345,7.019788,0,6.7631,0.676314
SYN-BLR-01-2024-0002467-6ee639,BLR-01,dry,14,2,46.0025,0.10169,29.4845,26.8891,25.1618,6.286779,0,3.8156,0.381563
SYN-BLR-03-2024-0000417-dd6c38,BLR-03,monsoon,21,6,90.5664,0.116539,50.4953,15.6496,54.6298,9.232882,0,7.2106,0.721062
SYN-BLR-06-2023-0002784-57e75f,BLR-06,monsoon,20,1,70.6605,0.111595,33.8012,15.0118,41.5185,11.141803,0,5.5917,0.559168
